,question,groundtruth,chatbot_response,similar_questions,accuracy
31,Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những gì?,"Bảo tàng trưng bày và giới thiệu những bộ sưu tập hiện vật, tư liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh","Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những bộ sưu tập hiện vật, tài liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh, vị lãnh tụ vĩ đại của dân tộc Việt Nam. Ngoài ra, bảo tàng còn trưng bày 208 hình ảnh, tài liệu và hiện vật về Bác Hồ với miền Nam, miền Nam với Bác Hồ.","['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những hiện vật gì?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có gì đặc biệt?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở địa chỉ nào?']",1
32,Triều Đinh lấy quốc hiệu là gì?,Đại Cồ Việt,Quốc hiệu của triều Đinh là Đại Cồ Việt.,"['Triều Đinh đặt quốc hiệu là gì?', 'Quốc hiệu của triều Đinh là gì?', 'Triều Đinh lấy tên gọi nước là gì?']",1
33,Áo dài năm thân gồm bao nhiêu khổ vải?,Áo dài năm thân gồm 2 khổ vải.,Áo dài năm thân gồm 2 khổ vải.,"['Áo dài năm thân được may từ những năm nào?', 'Ai là người sáng tạo ra áo dài năm thân?', 'Áo dài năm thân được làm từ chất liệu gì?']",1
34,Bảo tàng Áo Dài có trưng bày những tư liệu về Áo Dài từ lúc nào?,"Bảo tàng Áo Dài trưng bày những tư liệu về Áo Dài từ lúc hình thành, gắn liền lịch sử dựng nước và giữ nước của những người phụ nữ Việt Nam.","Bảo tàng Áo Dài trưng bày những tư liệu về Áo Dài từ lúc hình thành, gắn liền lịch sử dựng nước và giữ nước của những người phụ nữ Việt Nam lẫy lừng trong quân sự, ngoại giao, xã hội, văn hóa, giáo dục, thương mại, nghệ thuật, ...","['Bảo tàng Áo Dài có bao nhiêu chi nhánh?', 'Ai là người sáng lập Bảo tàng Áo Dài?', 'Bảo tàng Áo Dài hoạt động vào thời gian nào?']",1
35,Ai là kiến trúc sư thiết kế Nhà thờ Đức Bà?,Bourard,Kiến trúc sư thiết kế Nhà thờ Đức Bà là Bourard.,"['Nhà thờ Đức Bà được xây dựng vào năm nào?', 'Nhà thờ Đức Bà được xây dựng theo phong cách nào?', 'Tượng Nữ vương Hòa Bình được đặt ở đâu?']",1
36,"Theo dấu chân biệt động Sài Gòn, ta có thể khám phá những nơi nào?","Những nơi hoạt động bí mật, hầm cất giấu vũ khí và trạm giao liên",Bảo tàng Thông minh Biệt động Sài Gòn - Gia Định là một trong những nơi mà bạn có thể khám phá theo dấu chân Biệt động Sài Gòn. Đây là nơi kết hợp giữa lịch sử và công nghệ để mang lại trải nghiệm mới lạ trong việc tìm hiểu về lịch sử của Biệt động Sài Gòn. Bạn có thể nghe kể về chiến công hào hùng của chiến sĩ Biệt động Sài Gòn năm xưa và chiêm ngưỡng những hiện vật vô cùng giá trị đã được lưu giữ tại đây.,"['Có những bảo tàng nào ở Sài Gòn?', 'Nơi nào có thể tìm hiểu về lịch sử Biệt động Sài Gòn?', 'Bảo tàng Thông minh Biệt động Sài Gòn - Gia Định nằm ở địa chỉ nào?']",1
37,"Bảo tàng Thành phố Hồ Chí Minh có bao nhiêu hiện vật, hình ảnh và bản đồ?",Hơn 2000,"Bảo tàng Thành phố Hồ Chí Minh hiện quản lý 31.360 hiện vật, trong đó có 30.431 hiện vật trong kho và 929 hiện vật đang trưng bày; 16.739 hiện vật thể khối và 14.621 phim, ảnh, tài liệu khoa học phụ các loại.","['Bảo tàng Thành phố Hồ Chí Minh có bao nhiêu tầng?', 'Bảo tàng Thành phố Hồ Chí Minh được xây dựng vào năm nào?', 'Bảo tàng Thành phố Hồ Chí Minh có những đội ngũ thuyết minh viên nào?']",0
38,Hầm chứa vũ khí bí mật của Biệt động Sài Gòn được cất giữ vào năm nào?,1975,Hầm chứa vũ khí bí mật của Biệt động Sài Gòn được cất giữ vào năm 1975.,"['Hầm chứa vũ khí bí mật của Biệt động Sài Gòn được cất giữ trong thời gian bao lâu?', 'Hầm chứa vũ khí bí mật của Biệt động Sài Gòn nằm ở đâu?', 'Có bao nhiêu tấn vũ khí được cất giữ trong hầm chứa vũ khí bí mật của Biệt động Sài Gòn?']",1
39,Kiến trúc bên trong của bưu điện thành phố Hồ Chí Minh giống với kiến trúc của công trình nào ở Paris?,Kiến trúc bên trong của bưu điện thành phố Hồ Chí Minh giống với kiến trúc của nhà ga Orsay ở Paris.,Kiến trúc bên trong của bưu điện thành phố Hồ Chí Minh giống với kiến trúc của nhà ga Orsay ở Paris.,"['Công trình nào ở Paris có kiến trúc giống với bưu điện thành phố Hồ Chí Minh?', 'Bưu điện thành phố Hồ Chí Minh có kiến trúc giống với công trình nào ở Paris?', 'Công trình nào ở Paris có kiến trúc tương tự bưu điện thành phố Hồ Chí Minh?']",1
40,Công viên được bố trí những gì?,"Công viên được bố trí hồ sen, 2 hàng sứ trắng cùng nhiều hoa, cây cảnh.","Công viên được bố trí với 3 bậc bao gồm: [Bậc 1] thờ Quốc tổ Hùng Vương; [Bậc 2] thờ Lạc Long Quân và mẹ Âu Cơ; [Bậc 3] là các hoa văn, họa tiết về văn hóa Đông Sơn.","['Công viên có những bậc bao gồm những gì?', 'Công viên được quy hoạch như thế nào?', 'Công viên có những công trình nào?']",0
41,Chủ tịch Hồ Chí Minh sáng lập chính Đảng của giai cấp công nhân Việt Nam vào thời gian nào?,Chủ tịch Hồ Chí Minh sáng lập chính Đảng của giai cấp công nhân Việt Nam trong thời gian từ năm 1920 đến năm 1930.,Chủ tịch Hồ Chí Minh sáng lập chính Đảng của giai cấp công nhân Việt Nam trong thời gian từ năm 1920 đến năm 1930.,"['Chủ tịch Hồ Chí Minh sáng lập Đảng Cộng sản Việt Nam vào thời gian nào?', 'Hồ Chí Minh sáng lập Đảng Cộng sản Việt Nam vào năm nào?', 'Đảng Cộng sản Việt Nam được thành lập vào thời gian nào?']",1
42,GEM Center nằm ở đâu?,"GEM Center nằm tại địa chỉ 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh.","GEM Center nằm ở địa chỉ 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","['GEM Center có không gian sảnh dành cho sự kiện lớn nhất ở đâu?', 'GEM Center có thể làm phòng hội thảo ở đâu?', 'GEM Center có không gian choáng ngợp cho dạ tiệc ở đâu?']",1
43,Quảng trường La Mã có thể tổ chức sự kiện lớn với sức chứa bao nhiêu người?,Cả ngàn người,"Cảnh quan của quảng trường La Mã được thiết kế chủ đạo theo kiến trúc La Mã cổ đại. Các bồn hoa được tô điểm bởi các loại cây hồng cho hoa thường xuyên. Song song với các bồn hoa là hàng tùng bách bách tán, trắc bá diệp được trồng bao quanh Quảng Trường La Mã. Cũng giống như Quảng trường Âu Lạc, đây không chỉ là địa điểm tham quan tại Đầm Sen, mà còn là địa điểm tổ chức sự kiện lớn với sức chứa cả ngàn người tham dự.","['Quảng trường La Mã được thiết kế theo kiến trúc nào?', 'Các loại cây gì được trồng ở Quảng trường La Mã?', 'Quảng trường La Mã có thể tổ chức sự kiện như thế nào?']",1
44,Đu quay đứng còn được gọi là gì?,Đu quay lồng,Đu quay đứng còn được gọi là Ferris Wheel.,"['Có bao nhiêu cabin lồng trên đu quay đứng?', 'Đu quay đứng có bao nhiêu điểm dừng chân?', 'Ai là người đầu tiên đặt tên cho đu quay đứng?']",0
45,Du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở độ cao bao nhiêu?,40m,Du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở độ cao 461m từ đỉnh tòa tháp Landmark 81.,"['Từ độ cao nào du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở Landmark 81?', 'Độ cao tối đa mà du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở Landmark 81 là bao nhiêu?', 'Landmark 81 có đu quay đứng để ngắm cảnh thành phố không?']",0
46,Ngã sáu nằm ở đâu?,Ngã sáu nằm ở ranh giới Quận 5 với Quận 10,"Ngã sáu nằm ở phường Bến Thành, Quận 1.","['Ngã sáu Phù Đổng nằm ở đâu?', 'Ngã sáu Sài Gòn nằm ở đâu?', 'Ngã sáu nằm ở quận nào?']",0
47,Ai thực hiện công trình tại ngã sáu?,Công trình được thực hiện bởi Binh chủng Công binh Việt Nam Cộng hòa,"Công ty Gao Ge - Trung Quốc thiết kế, Công ty Cổ phần Tư vấn Thiết kế Công trình Quỹ Đạo triển khai chi tiết và Công ty Sino-Pacific thi công, hoàn thành và đưa vào hoạt động khoảng cuối năm 2010.","['Ai đã thiết kế Cầu Ánh Sao?', 'Công ty nào đã triển khai chi tiết thiết kế Cầu Ánh Sao?', 'Công ty nào đã thi công và hoàn thành Cầu Ánh Sao?']",1
48,Khu vực xung quanh Hồ Con Rùa có gì?,"Khu vực xung quanh Hồ Con Rùa tập trung rất nhiều nhà hàng, quán bar, cà phê.","Khu vực xung quanh Hồ Con Rùa tập trung rất nhiều nhà hàng, quán bar và cà phê. Vì vậy, khu vực này luôn nhộn nhịp từ sáng đến khuya.","['Có nhà hàng nào xung quanh Hồ Con Rùa không?', 'Có quán bar nào gần Hồ Con Rùa không?', 'Có cà phê nào ở gần Hồ Con Rùa không?']",1
49,Hồ Con Rùa được đặt tên gọi dân gian là gì?,Hồ Con Rùa được đặt tên gọi dân gian là Hồ Con Rùa.,Hồ Con Rùa được đặt tên gọi dân gian là Hồ Con Rùa.,"['Hồ Con Rùa có tên gọi dân gian là gì?', 'Người dân gọi Hồ Con Rùa bằng cái tên gì?', 'Có tên gọi dân gian nào khác cho Hồ Con Rùa không?']",1
50,"Khi khai trương, Phố đi bộ Bùi Viện đã đầu tư bao nhiêu tỷ đồng?",Phố đi bộ Bùi Viện đã đầu tư gần 10 tỷ đồng,Gần 10 tỷ đồng,"['Phố đi bộ Bùi Viện đã đầu tư bao nhiêu tiền?', 'Số tiền đầu tư cho Phố đi bộ Bùi Viện là bao nhiêu?', 'Tổng mức đầu tư cho Phố đi bộ Bùi Viện là bao nhiêu?']",0
51,"Ở Bùi Viện, du khách có thể khám phá những gì?","Ở Bùi Viện, du khách có thể khám phá các nét đặc thù bên trong các hẻm nhỏ đan xen trên tuyến đường","Ở Bùi Viện, du khách có thể khám phá các loại hình dịch vụ như ăn uống, vui chơi, giải trí, làm đẹp, nghỉ ngơi. Có rất nhiều quán bar, pub, bia vỉa hè và đồ ăn ngon trên đường phố. Ngoài ra, còn có các cửa hàng hớt tóc gội đầu, giặt ủi, siêu thị mini và các cơ sở lưu trú như nhà nghỉ, nhà trọ, khách sạn.","['Có gì để làm ở Bùi Viện?', 'Bùi Viện có những dịch vụ gì?', 'Bùi Viện có những quán ăn nổi tiếng nào?']",1
52,Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm nào?,Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm 1975,Năm 1975,"['Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm bao nhiêu?', 'Chợ Bình Tây được chính quyền Thành phố tiếp nhận quản lý vào năm nào?', 'Năm nào chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây?']",1
53,Công trình kiến trúc Bưu điện Thành phố Hồ Chí Minh được xây dựng theo phong cách kiến trúc nào?,Phong cách kiến trúc cổ điển châu Âu.,Bưu điện Thành phố Hồ Chí Minh được xây dựng theo phong cách kiến trúc cổ điển châu Âu.,"['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào thời điểm nào?', 'Công trình kiến trúc Bưu điện Thành phố Hồ Chí Minh có tuổi thọ bao nhiêu?', 'Công tác giữ gìn bảo quản Bưu điện Thành phố Hồ Chí Minh được thực hiện như thế nào?']",1
54,Hầm chứa vũ khí bí mật nằm ở đâu?,"287/70-72-74 Nguyễn Đình Chiểu, Quận 3, TP.HCM","Hầm chứa vũ khí bí mật nằm ở địa chỉ 287/70-72-74 Nguyễn Đình Chiểu, Quận 3, TP.HCM.","['Hầm chứa vũ khí bí mật ở thành phố Hồ Chí Minh nằm ở đâu?', 'Địa chỉ hầm chứa vũ khí bí mật của Biệt động Sài Gòn là gì?', 'Hầm chứa vũ khí bí mật của Biệt động Sài Gòn nằm ở quận nào?']",1
55,Bảo tàng Thành phố Hồ Chí Minh có đội ngũ thuyết minh viên hướng dẫn bằng ngôn ngữ nào?,Tiếng Việt và tiếng Anh,Bảo tàng Thành phố Hồ Chí Minh có đội ngũ thuyết minh viên hướng dẫn bằng 02 ngôn ngữ: Tiếng Việt và tiếng Anh.,"['Bảo tàng Thành phố Hồ Chí Minh có hướng dẫn viên nói tiếng nước ngoài không?', 'Ngôn ngữ nào được sử dụng bởi đội ngũ thuyết minh viên tại Bảo tàng Thành phố Hồ Chí Minh?', 'Có ngôn ngữ nào khác ngoài Tiếng Việt và tiếng Anh được sử dụng tại Bảo tàng Thành phố Hồ Chí Minh không?']",1
