question,groundtruth,chatbot_response,similar_questions,accuracy
Bên trong chánh điện của chùa Việt Nam Quốc Tự có gì?,"Bên trong chánh điện của chùa Việt Nam Quốc Tự có Tượng Phật do Tăng Ni, Phật tử miền Bắc cung tiến với kỹ thuật của các nghệ nhân làng đồng Ý Yên (Nam Định), tôn tạo và hoàn thiện tại chỗ.","Bên trong chánh điện của chùa Việt Nam Quốc Tự có một bảo tháp bằng gỗ cao 13m, bên trong tôn trí tượng Phật Thích ca bằng đồng cao 7,2m, nặng 7,2 tấn. Công trình này được công nhận là ngôi tịnh xá có bảo tháp bằng gỗ thờ Phật trong chánh điện lớn nhất Việt Nam.","['Chùa Việt Nam Quốc Tự có kết cấu chính như thế nào?', 'Chùa Việt Nam Quốc Tự có công trình nổi bật nào?', 'Bên trong chánh điện của chùa Việt Nam Quốc Tự có gì đặc biệt?']",1
Hai bên chánh điện của chùa Việt Nam Quốc Tự thờ gì?,Hai bên chánh điện của chùa Việt Nam Quốc Tự thờ 18 pho tượng La Hán.,Hai bên chánh điện của chùa Việt Nam Quốc Tự thờ 18 pho tượng La Hán.,"['Có bao nhiêu pho tượng La Hán được thờ ở hai bên chánh điện của chùa Việt Nam Quốc Tự?', 'Ai được thờ ở hai bên chánh điện của chùa Việt Nam Quốc Tự?', 'Chùa Việt Nam Quốc Tự thờ gì ở hai bên chánh điện?']",1
Ai là người lập nên nước Âu Lạc?,An Dương Vương là người lập nên nước Âu Lạc.,An Dương Vương là người lập nên nước Âu Lạc.,"['Ai là vị vua lập nên nước Âu Lạc?', 'Ai là người sáng lập nước Âu Lạc?', 'Ai là người thành lập nhà nước Âu Lạc?']",1
Ngã sáu là nơi giao nhau của những đường nào?,"Ngã sáu là nơi giao nhau của ba đường là Nguyễn Tri Phương, Ngô Gia Tự và Nguyễn Chí Thanh.","Ngã sáu là nơi giao nhau của sáu con đường gồm Cách Mạng Tháng Tám, Lý Tự Trọng, Phạm Hồng Thái, Nguyễn Thị Nghĩa, Nguyễn Trãi và Lê Thị Riêng.","['Có những con đường nào giao nhau tại Ngã sáu?', 'Ngã sáu Phù Đổng giao nhau với những đường nào?', 'Có bao nhiêu con đường giao nhau tại Ngã sáu Phù Đổng?']",0
Cột ở ngã sáu có gì đặc biệt?,Cột ở ngã sáu có bức tượng An Dương Vương tay cầm nỏ.,"Cột ở ngã sáu là Cột cờ Thủ Ngữ, một di tích lịch sử quan trọng của Thành phố Hồ Chí Minh. Cột cờ đã được xếp hạng là di tích cấp Thành phố và mang trong mình giá trị lịch sử, là nhân chứng cho sự phát triển liên tục của vùng đất Gia Định - Sài Gòn - Thành phố Hồ Chí Minh. Nó là điểm nhấn khác biệt từ công năng đến hình thức so với các di tích khác của Thành phố và từng tồn tại một không gian giao thương, kết nối cộng đồng.","['Cột cờ Thủ Ngữ nằm ở đâu?', 'Cột cờ Thủ Ngữ có bao nhiêu tuổi?', 'Cột cờ Thủ Ngữ là biểu tượng gì của Thành phố Hồ Chí Minh?']",0
Đền thờ vua Hùng được chống đỡ bằng những gì?,12 cây gỗ mật màu đen bóng,"Đền thờ vua Hùng được chống đỡ bằng 12 cây gỗ mật màu đen bóng, đường kính 50cm, tượng trưng cho 12 Can Chi của văn hóa Á Đông.","['Đền thờ vua Hùng được xây dựng bằng chất liệu gì?', 'Đền thờ vua Hùng có kích thước như thế nào?', 'Đền thờ vua Hùng có những công trình trạm khắc gỗ gì?']",1
Đền thờ vua Hùng tượng trưng cho điều gì trong văn hóa Á Đông?,12 Can Chi,Đền thờ vua Hùng tượng trưng cho 12 Can Chi của văn hóa Á Đông.,"['Đền thờ vua Hùng có ý nghĩa gì trong văn hóa Á Đông?', 'Đền thờ vua Hùng đại diện cho điều gì trong văn hóa Á Đông?', 'Trong văn hóa Á Đông, đền thờ vua Hùng tượng trưng cho điều gì?']",1
Bái điện có kích thước như thế nào?,"Dài 35m, rộng 22m và cao 15m","Bái điện có kích thước là 35m dài, 22m rộng và 15m cao.","['Bái điện có diện tích bao nhiêu?', 'Kích thước của bái điện là bao nhiêu?', 'Bái điện có kích thước như thế nào?']",1
Ở bên trái của bái điện có thờ gì?,Bồ Tát Văn Thù,Bên trái của bái điện có thờ Bồ Tát Văn Thù.,"['Bên trái của bái điện có gì?', 'Ai được thờ bên trái của bái điện?', 'Có gì bên trái của bái điện?']",1
Ở bên phải của bái điện có thờ gì?,Bồ Tát Phổ Hiền,Bên phải của bái điện có thờ Bồ Tát Văn Thù.,"['Bên phải của bái điện có gì?', 'Ai được thờ bên phải của bái điện?', 'Có gì bên phải của bái điện?']",0
Các công trình trạm khắc gỗ ở bái điện có những hình tượng gì?,"Bao lam tứ linh, bao lam cửu long và các phù điêu trên các hương án chạm các ngôi chùa danh tiếng","Các công trình trạm khắc gỗ ở bái điện có bao lam tứ linh, bao lam cửu long và các phù điêu trên các hương án chạm các ngôi chùa danh tiếng ở trong nước và một số nước Châu Á.","['Các công trình trạm khắc gỗ ở bái điện có những hình tượng nào?', 'Các hình tượng trạm khắc gỗ ở bái điện là gì?', 'Bái điện có những hình tượng gỗ nào?']",1
Ở hàng hiên hai bên lối vào của bái điện có những tượng gì?,Mỗi bên có một pho tượng Kim Cang,Ở hàng hiên hai bên lối vào của bái điện có hai pho tượng Kim Cang khá lớn.,"['Có những công trình trạm khắc gỗ nào ở chùa Ngọc Hoàng?', 'Chùa Ngọc Hoàng được xây dựng vào thời điểm nào?', 'Có những tượng đài nào ở trước tòa nhà Bưu điện Thành phố Hồ Chí Minh?']",0
Sân trước phật điện có gì?,Một gác chuông và một đại hồng chung,Sân trước phật điện có một gác chuông và treo một đại hồng chung được tặng từ Nhật Bản để cầu nguyện cho Việt Nam sớm được hòa bình.,"['Phật điện có gì ở sân trước?', 'Có gì đặc biệt ở sân trước phật điện?', 'Sân trước phật điện có công trình nào không?']",1
Chùa Ngọc Hoàng là điện thờ ai?,Ngọc Hoàng thượng đế,Chùa Ngọc Hoàng là điện thờ Ngọc Hoàng thượng đế.,"['Ai là người xây dựng chùa Ngọc Hoàng?', 'Chùa Ngọc Hoàng có tiếng ở đâu?', 'Chùa Ngọc Hoàng là ngôi chùa nào?']",1
Phòng trưng bày của chùa Ngọc Hoàng trưng bày thời kỳ nào?,Thời Ngô - Đinh - Tiền Lê (939 - 1009),Phòng trưng bày của chùa Ngọc Hoàng trưng bày thời kỳ hình thành và phát triển của nhà nước phong kiến Việt Nam độc lập thế kỷ thứ X.,"['Chùa Ngọc Hoàng trưng bày những gì?', 'Chùa Ngọc Hoàng có bao nhiêu phòng trưng bày?', 'Chùa Ngọc Hoàng được công nhận là di tích kiến trúc quốc gia vào năm nào?']",0
Dơi tập trung ở đâu?,Dơi tập trung trên một vùng đảo đước nhỏ duy nhất trong đầm.,Dơi tập trung trên một vùng đảo đước nhỏ duy nhất trong đầm.,"['Dơi sống ở đâu?', 'Vùng đảo nào có dơi tập trung?', 'Dơi tập trung do nguyên nhân gì?']",1
Vì sao dơi không sống ở vùng đảo bên cạnh?,Nguyên nhân chưa được lời giải đáp.,Nhiều giả thuyết cho rằng vùng đảo này có ảnh hưởng từ trường nên dơi tập trung đông hoặc các nguyên nhân về môi trường khác. Đến nay vẫn chưa có lời giải đáp.,"['Tại sao dơi không sống ở vùng đảo bên cạnh?', 'Có lý do gì khiến dơi không sống ở vùng đảo bên cạnh?', 'Tại sao chỉ có một vùng đảo nhỏ mà dơi tập trung sống?']",1
Tháp Tang bồng được xây bằng chất liệu gì?,Thép.,Tháp Tang bồng được xây bằng thép.,"['Tháp Tang bồng được xây bằng chất liệu gì?', 'Tháp Tang bồng được làm từ gì?', 'Tháp Tang bồng được xây dựng từ chất liệu nào?']",1
Tháp Tang bồng có mấy tầng quan sát?,4 tầng.,Tháp Tang bồng có 4 tầng quan sát.,"['Tháp Tang bồng có bao nhiêu tầng quan sát?', 'Có bao nhiêu tầng quan sát ở Tháp Tang bồng?', 'Tháp Tang bồng có mấy tầng để quan sát?']",1
Tháp Tang bồng được xây dựng để tưởng niệm ai?,"Hơn 820 bộ đội đặc công Trung đoàn 10 rừng Sác và hàng ngàn đồng bào, chiến sĩ đã chiến đấu hy sinh trên địa bàn.",Tháp Tang bồng được xây dựng để tưởng niệm các vua Hùng.,"['Ai được tưởng niệm tại Tháp Tang bồng?', 'Khu tưởng niệm các vua Hùng được xây dựng ở đâu?', 'Ai là người điêu khắc tượng đài Long An trung dũng kiên cường toàn dân đánh giặc?']",0
Tháp Tang bồng nằm ở đâu?,Tháp Tang bồng nằm ở Khu du lịch sinh thái Vàm Sát.,Tháp Tang bồng nằm ở Khu du lịch sinh thái Vàm Sát.,"['Tháp Tang bồng được xây bằng chất liệu gì?', 'Tháp Tang bồng có bao nhiêu tầng quan sát?', 'Tháp Tang bồng được xây dựng nhằm mục đích gì?']",1
GEM Center là địa điểm có không gian sảnh dành cho sự kiện lớn nhất ở đâu?,"GEM Center là địa điểm có không gian sảnh dành cho sự kiện lớn nhất nằm ngay tại khu vực trung tâm của Quận 1, Thành phố Hồ Chí Minh.","GEM Center là địa điểm có không gian sảnh dành cho sự kiện lớn nhất nằm ngay tại khu vực trung tâm của Quận 1, Thành phố Hồ Chí Minh.","['GEM Center nằm ở đâu?', 'GEM Center có thể tổ chức những sự kiện gì?', 'GEM Center có không gian sảnh dành cho sự kiện lớn nhất không?']",1
GEM Center có thể làm gì?,"GEM Center có thể là phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc, sân khấu âm nhạc hoặc sàn diễn thời trang.","GEM Center có thể là phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc, sân khấu âm nhạc hoặc sàn diễn thời trang.","['GEM Center nằm ở đâu?', 'GEM Center có không gian ngoài trời không?', 'GEM Center có phòng chờ không?']",1
Chánh điện có kết cấu chính bằng gì?,Chánh điện có kết cấu chính bằng gỗ.,Chánh điện có kết cấu chính bằng gỗ.,"['Chánh điện được làm từ vật liệu gì?', 'Chánh điện được xây dựng bằng gì?', 'Vật liệu chính để xây dựng Chánh điện là gì?']",1
Bảo tháp trong chánh điện cao bao nhiêu mét?,Bảo tháp trong chánh điện cao 13 mét.,Bảo tháp trong chánh điện cao 13m.,"['Chánh điện có kết cấu chính bằng gì?', 'Chánh điện lớn nhất Việt Nam là công trình gì?', 'Bảo tháp trong chánh điện nặng bao nhiêu tấn?']",1
Tượng Phật Thích ca trong chánh điện được làm bằng gì?,Tượng Phật Thích ca trong chánh điện được làm bằng đồng.,Tượng Phật Thích ca trong chánh điện được làm bằng đồng.,"['Chánh điện có kết cấu chính bằng gì?', 'Ai là người tạo ra tượng Phật Thích ca trong chánh điện?', 'Chánh điện lớn nhất Việt Nam là công trình gì?']",1
Chánh điện lớn nhất Việt Nam có ngôi tịnh xá nào?,Chánh điện lớn nhất Việt Nam có ngôi tịnh xá có bảo tháp bằng gỗ.,Chánh điện lớn nhất Việt Nam có ngôi tịnh xá bằng gỗ thờ Phật.,"['Chánh điện lớn nhất Việt Nam có kiến trúc gì?', 'Chánh điện lớn nhất Việt Nam có bảo tháp bằng gỗ không?', 'Chánh điện lớn nhất Việt Nam có tượng Phật bằng đồng không?']",1
Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày thường trực?,05,Bảo tàng Tôn Đức Thắng có 05 phòng trưng bày thường trực.,"['Bảo tàng Tôn Đức Thắng có những chuyên đề nào?', 'Bảo tàng Tôn Đức Thắng hoạt động vào thời gian nào?', 'Bảo tàng Tôn Đức Thắng có mất phí tham quan không?']",1
Phòng trưng bày nào thể hiện về thời niên thiếu của Chủ tịch Tôn Đức Thắng?,Thời niên thiếu của Chủ tịch Tôn Đức Thắng,Phòng trưng bày thời niên thiếu của Chủ tịch Tôn Đức Thắng.,"['Phòng trưng bày nào liên quan đến cuộc sống đời thường của Chủ tịch Tôn Đức Thắng?', 'Phòng trưng bày nào thể hiện về cuộc sống của Chủ tịch Tôn Đức Thắng tại ATK - Việt Bắc?', 'Phòng trưng bày nào chứa các tác phẩm mỹ thuật về Chủ tịch Tôn Đức Thắng?']",1
Phòng trưng bày nào thể hiện về cuộc đời và sự nghiệp của Chủ tịch Tôn Đức Thắng?,Cuộc đời và sự nghiệp,Phòng trưng bày về cuộc đời và sự nghiệp của Chủ tịch Tôn Đức Thắng là một trong 05 phòng trưng bày thường trực của Bảo tàng Tôn Đức Thắng.,"['Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày?', 'Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
Phòng trưng bày nào thể hiện về 15 năm tù Côn Đảo của Chủ tịch Tôn Đức Thắng?,15 năm tù Côn Đảo,Phòng trưng bày về 15 năm tù Côn Đảo của Chủ tịch Tôn Đức Thắng là một trong 05 phòng trưng bày thường trực tại Bảo tàng Tôn Đức Thắng.,"['Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày?', 'Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
Phòng trưng bày nào thể hiện về Bác Tôn tại ATK - Việt Bắc?,Bác Tôn tại ATK - Việt Bắc,Phòng trưng bày 'Bác Tôn tại ATK - Việt Bắc' thể hiện về cuộc sống và hoạt động của Chủ tịch Tôn Đức Thắng tại Khu Anh túc kỳ đồng (ATK) - Việt Bắc.,"['Bảo tàng Tôn Đức Thắng có những phòng trưng bày nào?', 'Địa chỉ của Bảo tàng Tôn Đức Thắng là gì?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
Phòng trưng bày nào thể hiện về Bác Tôn qua các tác phẩm mỹ thuật?,Bác Tôn qua các tác phẩm mỹ thuật,Phòng trưng bày chuyên đề “Tặng phẩm của Chủ tịch Tôn Đức Thắng” thể hiện về Bác Tôn qua các tác phẩm mỹ thuật.,"['Bảo tàng Tôn Đức Thắng có phòng trưng bày nào về Bác Tôn không?', 'Có phòng trưng bày nào về Bác Tôn ở Bảo tàng Tôn Đức Thắng không?', 'Bảo tàng Tôn Đức Thắng có trưng bày tác phẩm mỹ thuật về Bác Tôn không?']",1
Phòng trưng bày nào thể hiện về Tặng phẩm của Chủ tịch Tôn Đức Thắng?,Tặng phẩm của Chủ tịch Tôn Đức Thắng,Phòng trưng bày chuyên đề “Tặng phẩm của Chủ tịch Tôn Đức Thắng” thể hiện về Tặng phẩm của Chủ tịch Tôn Đức Thắng.,"['Bảo tàng Tôn Đức Thắng có những phòng trưng bày nào?', 'Bảo tàng Tôn Đức Thắng có diện tích bao nhiêu?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
Bảo tàng Tôn Đức Thắng có tổng diện tích là bao nhiêu?,trên 700m2,Tổng diện tích của Bảo tàng Tôn Đức Thắng là trên 700m2.,"['Bảo tàng Tôn Đức Thắng có diện tích bao nhiêu?', 'Kích thước của Bảo tàng Tôn Đức Thắng là bao nhiêu?', 'Bảo tàng Tôn Đức Thắng có bao nhiêu mét vuông?']",1
Bảo tàng Tôn Đức Thắng có các chuyên đề mở rộng liên quan đến hoạt động nào của Chủ tịch Tôn Đức Thắng?,hoạt động của Chủ tịch Tôn Đức Thắng,"Các chuyên đề mở rộng liên quan đến hoạt động của Chủ tịch Tôn Đức Thắng bao gồm: Viên ngọc Côn Sơn, Bác Hồ và Bác Tôn, Cuộc sống đời thường của Chủ tịch Tôn Đức Thắng, Bác Tôn trong lòng nhân dân thế giới.","['Bảo tàng Tôn Đức Thắng có những chuyên đề mở rộng nào?', 'Các chuyên đề mở rộng liên quan đến Chủ tịch Tôn Đức Thắng ở Bảo tàng Tôn Đức Thắng là gì?', 'Bảo tàng Tôn Đức Thắng có trưng bày những chuyên đề nào về Chủ tịch Tôn Đức Thắng?']",1
Các chuyên đề mở rộng liên quan đến Bác Tôn có những chủ đề nào?,"Viên ngọc Côn Sơn, Bác Hồ và Bác Tôn, Cuộc sống đời thường của Chủ tịch Tôn Đức Thắng, Bác Tôn trong lòng nhân dân thế giới","Các chuyên đề mở rộng liên quan đến Bác Tôn bao gồm: Viên ngọc Côn Sơn, Bác Hồ và Bác Tôn, Cuộc sống đời thường của Chủ tịch Tôn Đức Thắng, Bác Tôn trong lòng nhân dân thế giới.","['Bảo tàng Tôn Đức Thắng có những phòng trưng bày nào?', 'Địa chỉ của Bảo tàng Tôn Đức Thắng là gì?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?,"Số 05, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1","Bảo tàng Tôn Đức Thắng nằm ở số 05, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1.","['Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày?', 'Bảo tàng Tôn Đức Thắng hoạt động vào thời gian nào?', 'Bảo tàng Tôn Đức Thắng có miễn phí không?']",1
Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là từ khi nào đến khi nào?,Sáng: 8:00 - 11:30; Chiều: 1:30 - 4:30 (trừ thứ 2),"Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là từ 8:00 - 11:30 sáng và 1:30 - 4:30 chiều, trừ thứ 2.","['Bảo tàng Tôn Đức Thắng hoạt động vào các ngày nào trong tuần?', 'Bảo tàng Tôn Đức Thắng mở cửa vào thời gian nào?', 'Thời gian tham quan Bảo tàng Tôn Đức Thắng là khi nào?']",1
Thời gian tham quan Bảo tàng Tôn Đức Thắng có phải trả phí không?,Miễn phí,"Không, thời gian tham quan Bảo tàng Tôn Đức Thắng là miễn phí.","['Bảo tàng Tôn Đức Thắng có mấy phòng trưng bày?', 'Bảo tàng Tôn Đức Thắng mở cửa vào thời gian nào?', 'Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?']",1
Thời kỳ nào là nơi khởi nguồn của những nền văn hóa đặc sắc?,Thời dựng nước và giữ nước (2.879 TR. CN - 938),"Thời kỳ mở rộng địa bàn sinh sống để phát triển kinh tế, văn hóa là nơi khởi nguồn của những nền văn hóa đặc sắc.","['Thời kỳ nào là nền tảng của văn hóa Việt Nam?', 'Thời kỳ nào là thời kỳ dựng nước và giữ nước đầu tiên của dân tộc Việt Nam?', 'Thời kỳ nào là thời kỳ đầu cầm quyền của triều Nguyễn?']",1
"Sau khi kết thúc đợt biển tiến Holocene, cư dân cổ nước ta bước vào thời kỳ gì?","thời kỳ mở rộng địa bàn sinh sống để phát triển kinh tế, văn hóa","Sau khi kết thúc đợt biển tiến Holocene, cư dân cổ nước ta bước vào thời kỳ mở rộng địa bàn sinh sống để phát triển kinh tế, văn hóa.","['Thời kỳ nào cư dân cổ nước ta bước vào thời kỳ mở rộng địa bàn sinh sống để phát triển kinh tế, văn hóa?', 'Cư dân cổ nước ta bước vào thời kỳ gì sau khi kết thúc đợt biển tiến Holocene?', 'Sau đợt biển tiến Holocene, cư dân cổ nước ta đã bước vào thời kỳ nào để phát triển kinh tế, văn hóa?']",1
"Cùng với quá trình mở rộng địa bàn sinh sống, người dân cổ nước ta đã sáng tạo ra những gì?","công cụ bằng đá thô sơ, kỹ thuật luyện kim, nghề nông trồng lúa nước dùng cày với sức kéo của trâu, bò","Người dân cổ nước ta đã sáng tạo ra những cuộc khởi nghĩa và cuộc đấu tranh nhằm bảo vệ bản sắc văn hóa dân tộc, tiếp thu chọn lọc những giá trị của văn hóa phương Tây và giành lại nền độc lập.","['Những cuộc khởi nghĩa nào đã được người dân cổ nước ta tiến hành?', 'Người dân cổ nước ta đã làm gì để bảo vệ bản sắc văn hóa dân tộc?', 'Cách mạng Tháng 8 năm 1945 đã mở ra kỷ nguyên mới cho dân tộc Việt Nam như thế nào?']",0
"Trên cơ sở sáng tạo và lao động, đời sống vật chất và tinh thần của người dân cổ nước ta được nâng cao lên như thế nào?",đời sống vật chất và tinh thần ngày càng được nâng cao,"Đời sống vật chất và tinh thần của người dân cổ nước ta được nâng cao thông qua quá trình lao động và sáng tạo. Từ việc sử dụng công cụ bằng đá thô sơ, người dân đã phát minh ra kỹ thuật luyện kim và nghề nông trồng lúa nước. Điều này đã giúp cải thiện điều kiện sống, nâng cao mức sống và tạo ra những thành tựu văn hóa, kinh tế, xã hội sơ khai.","['Làm thế nào để đời sống vật chất và tinh thần của người dân cổ nước ta được nâng cao?', 'Quá trình nào đã giúp nâng cao đời sống vật chất và tinh thần của người dân cổ nước ta?', 'Nhờ vào những gì mà đời sống vật chất và tinh thần của người dân cổ nước ta được nâng cao?']",1
Sự nâng cao đời sống vật chất và tinh thần của người dân cổ nước ta đã kéo theo những chuyển biến gì?,"hàng loạt các chuyển biến về kinh tế, xã hội dẫn đến việc hình thành các nền văn minh và nhà nước sơ khai",Sự nâng cao đời sống vật chất và tinh thần của người dân cổ nước ta đã kéo theo việc hình thành các nền văn minh và nhà nước sơ khai.,"['Những chuyển biến nào đã xảy ra sau khi nâng cao đời sống vật chất và tinh thần của người dân cổ nước ta?', 'Nhờ sự nâng cao đời sống vật chất và tinh thần, người dân cổ nước ta đã tạo ra những gì?', 'Các nền văn minh và nhà nước sơ khai đã hình thành như thế nào sau khi nâng cao đời sống vật chất và tinh thần của người dân cổ nước ta?']",1
Thánh Gióng là nhân vật huyền sử thời nào?,Thời Hùng Vương thứ 6,Thánh Gióng là nhân vật huyền sử thời Hùng Vương thứ 6 dựng nước.,"['Thánh Gióng là ai?', 'Thời gian Thánh Gióng sống là khi nào?', 'Thánh Gióng có công lao gì trong lịch sử Việt Nam?']",1
Thánh Gióng sinh ra ở đâu?,"Làng Gióng (làng Phù Đổng), huyện Gia Lâm","Thánh Gióng sinh ra tại làng Gióng (làng Phù Đổng), huyện Gia Lâm (nay thuộc ngoại thành Hà Nội).","['Thánh Gióng là nhân vật huyền sử thời nào?', 'Thánh Gióng có hiệu là gì?', 'Thánh Gióng làm gì để giúp nước đánh giặc Ân?']",1
"Lúc sinh ra đến bao nhiêu tuổi, Thánh Gióng mới chịu cười, chịu nói?",3 tuổi,Not relevant,"['Ai là người sáng lập chùa Gò?', 'Chùa Gò có bao nhiêu hình ảnh, tài liệu, hiện vật được trưng bày?', 'Bác Hồ dành tình cảm như thế nào cho miền Nam?']",0
